Reporting Economy,Partner Economy,PSI Reporting Economy,PSI Partner Economy,Year,Value
North Macedonia,Norway,0.0624840781092644,1.08862638473511,2021,89.6600151
North Macedonia,Philippines,0.0624840781092644,-0.984022319316864,2021,1464939.2885458
North Macedonia,Singapore,0.0624840781092644,1.44250547885895,2021,1681637.2681553
North Macedonia,South Korea,0.0624840781092644,0.629045724868774,2021,451377.26176729996
North Macedonia,Switzerland,0.0624840781092644,1.11537563800812,2021,6114.4948173
North Macedonia,Taiwan,0.0624840781092644,0.767897605895996,2021,4512401.5322611
North Macedonia,Thailand,0.0624840781092644,-0.56877988576889,2021,14035375.231798502
North Macedonia,Turkey,0.0624840781092644,-1.13679277896881,2021,274081.8744754
North Macedonia,United Kingdom,0.0624840781092644,0.489994138479233,2021,838235.2123149
North Macedonia,United States,0.0624840781092644,-0.0144246527925134,2021,3141599.7856695
Norway,Argentina,1.08862638473511,0.0005300586344674,2021,214.9010477
Norway,Australia,1.08862638473511,0.83507913351059,2021,189322.11874280003
Norway,Bangladesh,1.08862638473511,-1.03688275814056,2021,255.6461001
Norway,Brazil,1.08862638473511,-0.419879764318466,2021,15744.237485500002
Norway,Canada,1.08862638473511,0.962336957454681,2021,284928.8707801
Norway,China,1.08862638473511,-0.516462862491608,2021,55361529.8020954
Norway,Costa Rica,1.08862638473511,0.860422551631927,2021,44434.57508739999
Norway,Dominican Republic,1.08862638473511,0.287386029958725,2021,2456.69383
Norway,El Salvador,1.08862638473511,-0.091492086648941,2021,142.6076834
Norway,European Union,1.08862638473511,0.7259235094192634,2021,58180662.1653088
Norway,Hong Kong,1.08862638473511,0.263934075832367,2021,1033613.6204891
Norway,Iceland,1.08862638473511,1.37235331535339,2021,8346.9150174
Norway,India,1.08862638473511,-0.691076755523682,2021,248420.6053551
Norway,Indonesia,1.08862638473511,-0.531449198722839,2021,123201.2805587
Norway,Israel,1.08862638473511,-1.12231314182281,2021,310145.8672875
Norway,Japan,1.08862638473511,1.0155017375946,2021,3386552.2700816
Norway,Malaysia,1.08862638473511,0.0595565475523472,2021,31314301.3969731
Norway,Mexico,1.08862638473511,-0.687615871429443,2021,1448719.4412107
Norway,Montenegro,1.08862638473511,-0.0524446368217468,2021,1283.0034924
Norway,Morocco,1.08862638473511,-0.40256267786026,2021,236948.5448195
Norway,Namibia,1.08862638473511,0.518789291381836,2021,93215.8323632
Norway,New Zealand,1.08862638473511,1.39449656009674,2021,83442.7240978
Norway,Nigeria,1.08862638473511,-1.78738462924957,2021,15691.3853318
